ACCESS,AU,PROJ,SID,START,STOP,ACTIVE,NWELLS,ACWELLS
5329, 8, 23, 21051, 2007, 0, 1, 1, 1
5330, 8, 23, 21051, 1979, 2012, 0, 1, 0
5331, 8, 23, 21051, 1994, 0, 1, 1, 1
5332, 8, 23, 20246, 1994, 0, 1, 1, 1
5333, 8, 23, 20246, 2007, 0, 1, 1, 1
5334, 21, 23, 20246, 1991, 0, 1, 2, 1
5335, 21, 23, 20246, 0, 0, 0, 0, 0
5336, 21, 23, 20246, 0, 0, 0, 0, 0
5337, 21, 23, 20246, 0, 0, 0, 0, 0
5338, 8, 23, 21051, 2006, 0, 1, 1, 1
5339, 8, 23, 25929, 2008, 0, 1, 1, 1
5340, 21, 23, 25929, 0, 0, 0, 0, 0
5341, 8, 23, 21051, 1994, 0, 1, 1, 1
5342, 21, 23, 25929, 0, 0, 0, 0, 0
5343, 8, 23, 25094, 1994, 0, 1, 1, 1
5344, 8, 23, 25094, 1991, 0, 1, 1, 1
5345, 8, 23, 25094, 1994, 0, 1, 1, 1
5346, 8, 23, 29253, 2008, 0, 1, 1, 1
5347, 8, 23, 25929, 2006, 0, 1, 1, 1
5348, 8, 23, 25929, 1979, 0, 1, 1, 1
5349, 21, 23, 25094, 1980, 2009, 0, 1, 0
5350, 8, 23, 25929, 1992, 0, 1, 1, 1
5351, 8, 23, 25929, 2006, 0, 1, 1, 1
5352, 21, 23, 26760, 1997, 2010, 0, 1, 0
5353, 8, 23, 26760, 1980, 0, 1, 1, 1
5354, 8, 23, 26760, 1992, 0, 1, 1, 1
